cl1,cl2
1991,9
1991,9.5
1991,12.5
1991,14.7
1991,18.1
1991,23.3
1991,26.6
1991,27.2
1991,23.4
1991,16.6
1991,13.2
1991,10.5
1992,9
1992,11.2
1992,12.9
1992,15.9
1992,19.8
1992,20.6
1992,26.2
1992,26.6
1992,22.8
1992,16.8
1992,13.2
1992,10.8
1993,8.8
1993,10.4
1993,13.4
1993,15.3
1993,18.2
1993,23.1
1993,26.6
1993,26.1
1993,21
1993,16.5
1993,12.9
1993,10.2
1994,9
1994,10.7
1994,13.6
1994,15.4
1994,19.7
1994,24
1994,27.6
1994,26.7
1994,21.7
1994,18.3
1994,15
1994,11.1
1995,9.9
1995,12.3
1995,13.9
1995,15.8
1995,21.3
1995,22.8
1995,27
1995,26.7
1995,21.8
1995,19.9
1995,16
1995,12.4
1996,11.5
1996,10.4
1996,12.9
1996,16.2
1996,19.2
1996,23.9
1996,26.6
1996,25.2
1996,21.6
1996,18.2
1996,14.2
1996,11.3
1997,10.8
1997,12.9
1997,15
1997,17
1997,19.6
1997,22.9
1997,25.2
1997,25.4
1997,23.4
1997,19.8
1997,15.1
1997,11.4
1998,10
1998,12.9
1998,15.2
1998,16
1998,18.2
1998,23.9
1998,26.8
1998,27.1
1998,23.2
1998,18.1
1998,14.5
1998,9.7
1999,9.6
1999,9.6
1999,13.1
1999,16.9
1999,20.6
1999,23.9
1999,26.8
1999,26.7
1999,22.7
1999,18.9
1999,13.1
1999,10.1
2000,8.6
2000,12.6
2000,15
2000,15.2
2000,19.6
2000,24.7
2000,26.9
2000,27
2000,23
2000,17.2
2000,13.6
2000,11.6
2001,10.8
2001,11.9
2001,15.8
2001,17
2001,19.4
2001,24.7
2001,26.5
2001,26.7
2001,22.5
2001,20.4
2001,13.9
2001,11.2
2002,10.8
2002,12.6
2002,14.1
2002,16
2002,19.4
2002,23.5
2002,26.1
2002,25
2002,22.7
2002,19.9
2002,14.6
2002,12.3
2003,9.5
2003,10.7
2003,14.8
2003,16.1
2003,20.8
2003,24.9
2003,27.1
2003,27.5
2003,23.7
2003,18.6
2003,13.9
2003,10.6
2004,10.3
2004,11.9
2004,13.4
2004,15.7
2004,17.7
2004,24.7
2004,27.3
2004,27.3
2004,23.6
2004,19.6
2004,13.4
2004,9.9
2005,8.2
2005,8.9
2005,14.2
2005,16.9
2005,21.4
2005,24.9
2005,27.1
2005,27.1
2005,23.1
2005,19.9
2005,13.7
2005,10.2
2006,8.6
2006,10.3
2006,14.1
2006,17.3
2006,20.8
2006,23.5
2006,27.8
2006,26.9
2006,23.7
2006,20
2006,15.6
2006,10.2
2007,9.7
2007,12.5
2007,13.6
2007,15.3
2007,19.6
2007,23.3
2007,27.5
2007,26.4
2007,22.9
2007,19
2007,14.4
2007,10.5
2008,10.5
2008,12.8
2008,14.3
2008,17.7
2008,18.9
2008,24.3
2008,27.2
2008,27
2008,22.7
2008,17.5
2008,12
2008,9.3
2009,9
2009,10.9
2009,14.3
2009,15.4
2009,20.3
2009,24.5
2009,28.1
2009,27.5
2009,22
2009,20.2
2009,16
2009,12.6
2010,10.7
2010,13.1
2010,14.6
2010,17.6
2010,19.5
2010,23.2
2010,27.8
2010,28.3
2010,24.1
2010,18.5
2010,14.3
2010,12.2
2011,10.6
2011,10.9
2011,13.3
2011,17.7
2011,20.3
2011,24.5
2011,27
2011,27.1
2011,23.7
2011,19.6
2011,14.1
2011,10.3
2012,9.1
2012,8.9
2012,14.1
2012,14.9
2012,21.4
2012,24.7
2012,27.8
2012,28.4
2012,23.4
2012,19.2
2012,15.1
2012,11
2013,10.5
2013,10.8
2013,14.1
2013,16.8
2013,18.8
2013,23.3
2013,26.9
2013,27.6
2013,23.1
2013,19.9
2013,14
2013,10.2
2014,10.6
2014,11.4
2014,13.5
2014,17.3
2014,21.2
2014,23.5
2014,26.2
2014,26.8
2014,24
2014,20.8
2014,14.9
2014,10.4
2015,9.6
2015,10.2
2015,13.5
2015,17.2
2015,21.9
2015,24.3
2015,28.4
2015,26.9
2015,22.7
2015,19.7
2015,15.2
2015,12.2
2016,11.7
2016,12.2
2016,12.9
2016,16.7
2016,20.3
2016,24.5
2016,28.2
2016,28
2016,23.9
2016,20.1
2016,14
2016,11.2
2017,9.3
2017,12.1
2017,14.4
2017,18.1
2017,21.8
2017,25.2
2017,27.5
2017,28
2017,23.7
2017,20.8
2017,15
2017,10.1
2018,10
2018,9.7
2018,13.7
2018,15.6
2018,18.2
2018,22.5
2018,25.9
2018,27.2
2018,24
2018,18.6
2018,13.8
2018,11.7
2019,9.4
2019,11.7
2019,14.4
2019,15.8
2019,21.7
2019,23.1
2019,27.1
2019,26.9
2019,23.7
2019,19.1
2019,13.7
2019,11.6
2020,9.5
2020,13
2020,14.2
2020,16.1
2020,21.3
2020,23.5
2020,28.6
2020,27.4
2020,23.9
2020,18.5
2020,15
2020,11
